"","GSM1545535_10_6_5_11","GSM1545536_9_6_5_11","GSM1545538_purep53","GSM1545539_JMS8.2","GSM1545540_JMS8.3","GSM1545541_JMS8.4","GSM1545542_JMS8.5","GSM1545544_JMS9.P7c","GSM1545545_JMS9.P8c"
"1",1,2,342,526,3,3,535,2,0
"2",0,0,5,6,0,0,5,0,0
"3",0,0,0,0,0,0,1,0,0
"4",0,1,0,0,17,2,0,1,0
"5",1,1,76,40,33,14,98,18,8
"6",431,771,1368,1268,1564,769,818,468,342
"7",768,1722,2517,1923,3865,1888,1830,1246,693
"8",4,8,6,2,11,11,3,9,2
"9",810,977,2472,1870,2251,1716,1932,756,619
"10",452,358,17,14,622,571,12,203,224
"11",1716,2678,2097,2071,5499,3630,1731,1715,1251
"12",0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0
"14",3451,2699,3399,2716,5233,6280,3647,1866,2122
"15",0,0,2,3,0,0,0,0,0
"16",0,0,0,1,0,0,0,0,0
"17",2026,2033,3920,2715,3873,3688,3593,1609,1348
"18",0,0,1,5,0,0,4,0,0
"19",956,985,5497,4214,3462,2933,5336,649,731
"20",54,76,46,32,148,126,59,44,27
"21",16,28,12,12,67,24,14,18,11
"22",21,9,21,44,35,34,29,8,15
"23",194,166,1007,862,632,594,901,100,131
"24",2390,2012,3500,3020,5412,4404,4173,1585,1522
"25",3,2,4,1,1,5,2,3,0
"26",87,323,734,565,721,249,666,267,113
"27",71,194,383,206,307,110,206,112,50
"28",0,0,9,8,3,1,7,0,1
"29",289,487,824,565,709,517,662,335,271
"30",4,6,54,10,18,19,43,9,6
"31",16,25,67,92,51,45,55,12,5
"32",3,3,9,12,7,0,8,2,3
"33",1,0,2,0,5,0,0,0,2
"34",1804,2499,4073,3409,5545,3344,3020,1731,1264
"35",745,826,1373,1008,1740,2137,1695,759,624
"36",6696,7131,11369,7972,17002,15128,11439,4956,4260
"37",2,0,802,553,0,3,616,0,1
"38",41,94,333,240,368,292,695,106,68
